task_id,entry_point,strategy,sample_index,code,code_file,initial_code,initial_code_file,syntax_valid,syntax_error,pylint_score,bandit_issues,radon_cc_avg,radon_cc_max,radon_mi,pylint_report_file,bandit_report_file,bandit_stderr_file,passed,functional_result,llm_readability,llm_maintainability,llm_correctness,llm_efficiency,llm_pythonic_style,llm_overall_score,llm_feedback,initial_pylint_score,initial_passed,initial_functional_result,initial_pylint_report_file,initial_bandit_report_file,initial_bandit_stderr_file,refinement_changed
HumanEval/0,has_close_elements,zero_shot,0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers = sorted(numbers)
    for i in range(len(numbers) - 1):
        if numbers[i + 1] - numbers[i] < threshold:
            return True
    return False",raw_generations/HumanEval_0/zero_shot_sample0.py,,,True,,5.71,0,3.0,3,69.95433047022944,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_0__zero_shot__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__zero_shot__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__zero_shot__sample0__final_bandit.stderr.txt,True,passed,8.0,7.0,6.0,8.0,7.0,7.0,"The code is generally clean and efficient but fails to handle edge cases properly (e.g., negative threshold, empty list).",,,,,,,
HumanEval/0,has_close_elements,constraint_guided,0,"""""""Utility for detecting close numerical elements.""""""

from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Check if in a given list of numbers, there are any two numbers closer to each other than
    the given threshold.

    Examples:
        >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
        False
        >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
        True
    """"""
    if len(numbers) < 2:
        return False

    sorted_numbers = sorted(numbers)
    for i in range(1, len(sorted_numbers)):
        if sorted_numbers[i] - sorted_numbers[i - 1] < threshold:
            return True
    return False",raw_generations/HumanEval_0/constraint_guided_sample0.py,,,True,,8.89,0,4.0,4,91.18017487620841,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_0__constraint_guided__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__constraint_guided__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__constraint_guided__sample0__final_bandit.stderr.txt,True,passed,8.0,7.0,6.0,8.0,7.0,7.0,"The code is readable and efficient but fails to handle all pairs correctly due to sorting, and lacks edge case handling for negative thresholds.",,,,,,,
HumanEval/0,has_close_elements,structured_cot,0,"""""""Utility for checking proximity of numeric values.""""""

from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Check if in a given list of numbers, there are any two numbers closer to each other than
    the given threshold.

    Examples:
        >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
        False
        >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
        True
    """"""
    if len(numbers) < 2:
        return False
    sorted_numbers = sorted(numbers)
    for i in range(len(sorted_numbers) - 1):
        if sorted_numbers[i + 1] - sorted_numbers[i] < threshold:
            return True
    return False",raw_generations/HumanEval_0/structured_cot_sample0.py,,,True,,8.89,0,4.0,4,90.26988233992525,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_0__structured_cot__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__structured_cot__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__structured_cot__sample0__final_bandit.stderr.txt,True,passed,9.0,8.0,9.0,8.0,8.0,8.0,"Clean and efficient implementation with good readability, though could be slightly more Pythonic with enumerate and zip usage.",,,,,,,
HumanEval/0,has_close_elements,self_refine,0,"""""""Check for close numerical elements in lists.""""""

from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Check if in a given list of numbers, there are any two numbers closer to each other than
    the given threshold.

    Examples:
        >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
        False
        >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
        True
    """"""
    sorted_numbers = sorted(numbers)
    for previous, current in zip(sorted_numbers, sorted_numbers[1:]):
        if current - previous < threshold:
            return True
    return False",raw_generations/HumanEval_0/self_refine_sample0.py,"""""""Check for close numerical elements in lists.""""""

from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Check if in a given list of numbers, there are any two numbers closer to each other than
    the given threshold.

    Examples:
        >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
        False
        >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
        True
    """"""
    sorted_numbers = sorted(numbers)
    for previous, current in zip(sorted_numbers, sorted_numbers[1:]):
        if current - previous < threshold:
            return True
    return False",raw_generations/HumanEval_0/self_refine_sample0_initial.py,True,,8.57,0,3.0,3,91.25729365186112,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_0__self_refine__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__self_refine__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__self_refine__sample0__final_bandit.stderr.txt,True,passed,8.0,7.0,6.0,7.0,8.0,7.0,The code is readable and Pythonic but fails to handle negative thresholds correctly and lacks edge case validation.,8.57,True,passed,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_0__self_refine__sample0__initial_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__self_refine__sample0__initial_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_0__self_refine__sample0__initial_bandit.stderr.txt,False
HumanEval/1,separate_paren_groups,zero_shot,0,"def separate_paren_groups(paren_string: str) -> List[str]:
    groups = []
    current_group = []
    balance = 0
    for char in paren_string:
        if char == ""("":
            balance += 1
            current_group.append(char)
        elif char == "")"" and balance > 0:
            balance -= 1
            current_group.append(char)
            if balance == 0:
                groups.append("""".join(current_group))
                current_group = []
    return groups",raw_generations/HumanEval_1/zero_shot_sample0.py,,,True,,4.67,0,6.0,6,60.30065582354828,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_1__zero_shot__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__zero_shot__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__zero_shot__sample0__final_bandit.stderr.txt,False,assertion_failed: ,7.0,6.0,4.0,8.0,7.0,5.0,"The code fails to handle invalid characters correctly and doesn't match the example outputs, showing logic errors in edge case handling.",,,,,,,
HumanEval/1,separate_paren_groups,constraint_guided,0,"""""""Separate groups of nested parentheses from a string.""""""

from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string possibly containing multiple groups of nested parentheses.
    Your goal is to separate those groups into separate strings and return the list of those.
    Ignore anything other than ""("" and "")"" in the input string.

    Examples:
        >>> seperate_paren_groups('(()())')
        ['(()())']
        >>> separate_paren_groups('()(())')
        ['()', '(())']
        >>> separate_paren_groups(')( [) (( ))] (({})( ))')
        ['()', '(())', '(()())']
    """"""
    groups: List[str] = []
    current_chars: List[str] = []
    balance = 0
    for char in paren_string:
        if char == ""("":
            balance += 1
            current_chars.append(char)
        elif char == "")"":
            if balance > 0:
                balance -= 1
                current_chars.append(char)
                if balance == 0:
                    groups.append("""".join(current_chars))
                    current_chars = []
    return groups",raw_generations/HumanEval_1/constraint_guided_sample0.py,,,True,,9.41,0,6.0,6,86.72770580780998,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_1__constraint_guided__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__constraint_guided__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__constraint_guided__sample0__final_bandit.stderr.txt,False,assertion_failed: ,8.0,7.0,4.0,9.0,7.0,5.0,"The code has a critical correctness issue: it incorrectly handles unmatched opening parentheses and fails to ignore non-parenthesis characters as specified, leading to wrong outputs for the provided examples.",,,,,,,
HumanEval/1,separate_paren_groups,structured_cot,0,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string possibly containing multiple groups of nested parentheses.
    Your goal is to separate those groups into separate strings and return the list of those.
    Ignore anything other than ""("" and "")"" in the input string.

    Examples:
        >>> seperate_paren_groups('(()())')
        ['(()())']
        >>> separate_paren_groups('()(())')
        ['()', '(())']
        >>> separate_paren_groups(')( [) (( ))] (({})( ))')
        ['()', '(())', '(()())']
    """"""
    groups = []
    current = []
    depth = 0
    for char in paren_string:
        if char == ""("":
            depth += 1
            current.append(char)
        elif char == "")"":
            depth -= 1
            current.append(char)
            if depth == 0:
                groups.append("""".join(current))
                current = []
    return groups",raw_generations/HumanEval_1/structured_cot_sample0.py,,,True,,8.75,0,5.0,5,89.25451992269937,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_1__structured_cot__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__structured_cot__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__structured_cot__sample0__final_bandit.stderr.txt,False,assertion_failed: ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,The code is fundamentally incorrect as it fails to ignore non-parenthesis characters and produces wrong results for the given examples.,,,,,,,
HumanEval/1,separate_paren_groups,self_refine,0,"""""""Separate groups of nested parentheses from a string.""""""

from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string possibly containing multiple groups of nested parentheses.
    Your goal is to separate those groups into separate strings and return the list of those.
    Ignore anything other than ""("" and "")"" in the input string.

    Examples:
        >>> seperate_paren_groups('(()())')
        ['(()())']
        >>> separate_paren_groups('()(())')
        ['()', '(())']
        >>> separate_paren_groups(')( [) (( ))] (({})( ))')
        ['()', '(())', '(()())']
    """"""
    groups: List[str] = []
    current_group = """"
    depth = 0

    for char in paren_string:
        if char == ""("":
            current_group += char
            depth += 1
        elif char == "")"" and depth > 0:
            current_group += char
            depth -= 1
            if depth == 0:
                groups.append(current_group)
                current_group = """"

    return groups",raw_generations/HumanEval_1/self_refine_sample0.py,"""""""Separate groups of nested parentheses from a string.""""""

from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string possibly containing multiple groups of nested parentheses.
    Your goal is to separate those groups into separate strings and return the list of those.
    Ignore anything other than ""("" and "")"" in the input string.

    Examples:
        >>> seperate_paren_groups('(()())')
        ['(()())']
        >>> separate_paren_groups('()(())')
        ['()', '(())']
        >>> separate_paren_groups(')( [) (( ))] (({})( ))')
        ['()', '(())', '(()())']
    """"""
    groups: List[str] = []
    current_group = """"
    depth = 0

    for char in paren_string:
        if char == ""("":
            current_group += char
            depth += 1
        elif char == "")"" and depth > 0:
            current_group += char
            depth -= 1
            if depth == 0:
                groups.append(current_group)
                current_group = """"

    return groups",raw_generations/HumanEval_1/self_refine_sample0_initial.py,True,,9.38,0,6.0,6,85.72169818796229,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_1__self_refine__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__self_refine__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__self_refine__sample0__final_bandit.stderr.txt,False,assertion_failed: ,8.0,7.0,4.0,9.0,8.0,6.0,"The code is readable and efficient but fails to correctly handle the examples, particularly ignoring non-parenthesis characters and mismatched parentheses.",9.38,False,assertion_failed: ,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_1__self_refine__sample0__initial_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__self_refine__sample0__initial_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_1__self_refine__sample0__initial_bandit.stderr.txt,False
HumanEval/2,truncate_number,zero_shot,0,"def truncate_number(number: float) -> float:
    return number % 1",raw_generations/HumanEval_2/zero_shot_sample0.py,,,True,,0.0,0,1.0,1,88.5574946685516,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_2__zero_shot__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_2__zero_shot__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_2__zero_shot__sample0__final_bandit.stderr.txt,True,passed,9.0,9.0,10.0,10.0,10.0,9.0,"Excellent implementation: concise, correct, and perfectly Pythonic for the given task.",,,,,,,
HumanEval/2,truncate_number,constraint_guided,0,"""""""Utility module for number truncation operations.""""""

def truncate_number(number: float) -> float:
    """"""
    Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).
    Return the decimal part of the number.

    Example:
        >>> truncate_number(3.5)
        0.5
    """"""
    decimal_part = number - int(number)
    return decimal_part",raw_generations/HumanEval_2/constraint_guided_sample0.py,,,True,,6.67,0,1.0,1,67.2282958961562,outputs_grok_prompt_v3\reports\static_analysis\pylint\HumanEval_2__constraint_guided__sample0__final_pylint.txt,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_2__constraint_guided__sample0__final_bandit.json,outputs_grok_prompt_v3\reports\static_analysis\bandit\HumanEval_2__constraint_guided__sample0__final_bandit.stderr.txt,True,passed,9.0,9.0,8.0,9.0,8.0,8.0,Clean and simple implementation but lacks handling for negative numbers and potential floating-point precision issues.,,,,,,,
